service_id,date,exception_type
1,20180409,1
1,20180410,1
1,20180411,1
1,20180412,1
1,20180413,1
1,20180416,1
1,20180417,1
1,20180418,1
1,20180419,1
1,20180420,1
1,20180423,1
1,20180424,1
1,20180425,1
1,20180426,1
1,20180427,1
1,20180430,1
1,20180501,1
1,20180502,1
1,20180503,1
1,20180504,1
1,20180507,1
1,20180510,1
1,20180511,1
1,20180514,1
1,20180515,1
1,20180516,1
1,20180517,1
1,20180518,1
1,20180521,1
1,20180522,1
1,20180523,1
1,20180524,1
1,20180525,1
1,20180529,1
1,20180530,1
1,20180531,1
1,20180601,1
2,20180316,1
2,20180317,1
2,20180323,1
2,20180324,1
2,20180330,1
2,20180331,1
2,20180406,1
2,20180407,1
2,20180413,1
2,20180414,1
2,20180420,1
2,20180421,1
2,20180427,1
2,20180428,1
2,20180504,1
2,20180505,1
2,20180511,1
2,20180512,1
2,20180518,1
2,20180519,1
2,20180525,1
2,20180526,1
2,20180527,1
2,20180601,1
3,20180317,1
3,20180318,1
3,20180324,1
3,20180325,1
3,20180331,1
3,20180401,1
3,20180407,1
3,20180408,1
3,20180414,1
3,20180415,1
3,20180421,1
3,20180422,1
3,20180428,1
3,20180429,1
3,20180505,1
3,20180506,1
3,20180512,1
3,20180513,1
3,20180519,1
3,20180520,1
3,20180526,1
3,20180527,1
3,20180528,1
3,20180602,1
4,20180314,1
4,20180315,1
4,20180316,1
4,20180319,1
4,20180320,1
4,20180321,1
4,20180322,1
4,20180323,1
4,20180326,1
4,20180327,1
4,20180328,1
4,20180329,1
4,20180330,1
4,20180402,1
4,20180403,1
4,20180404,1
4,20180405,1
4,20180406,1
5,20180314,1
5,20180315,1
5,20180318,1
5,20180319,1
5,20180320,1
5,20180321,1
5,20180322,1
5,20180325,1
5,20180326,1
5,20180327,1
5,20180328,1
5,20180329,1
5,20180401,1
5,20180402,1
5,20180403,1
5,20180404,1
5,20180405,1
5,20180408,1
5,20180409,1
5,20180410,1
5,20180411,1
5,20180412,1
5,20180415,1
5,20180416,1
