trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
1,25:53:00,25:53:00,10,1,0,0,0.0000
1,26:02:00,26:02:00,2,2,0,0,5.8924
1,26:12:00,26:12:00,39,3,0,0,16.4295
1,26:23:00,26:23:00,55,4,0,0,27.2915
1,26:36:00,26:36:00,9,5,0,0,40.2494
1,26:44:00,26:44:00,71,6,0,0,46.3121
1,26:54:00,26:54:00,28,7,0,0,53.5360
1,27:01:00,27:01:00,43298,8,0,0,57.3989
1,27:26:00,27:26:00,1,9,0,0,67.6532
2,24:43:00,24:43:00,10,1,0,0,0.0000
2,24:52:00,24:52:00,2,2,0,0,5.8924
2,25:02:00,25:02:00,39,3,0,0,16.4295
2,25:13:00,25:13:00,55,4,0,0,27.2915
2,25:26:00,25:26:00,9,5,0,0,40.2494
2,25:34:00,25:34:00,71,6,0,0,46.3121
2,25:45:00,25:45:00,28,7,0,0,53.5360
2,25:52:00,25:52:00,43298,8,0,0,57.3989
2,26:21:00,26:21:00,1,9,0,0,67.6532
3,06:39:00,06:39:00,10,1,0,0,0.0000
3,06:48:00,06:48:00,2,2,0,0,5.8924
3,06:59:00,06:59:00,39,3,0,0,16.4295
3,07:10:00,07:10:00,55,4,0,0,27.2915
3,07:23:00,07:23:00,9,5,0,0,40.2494
3,07:31:00,07:31:00,71,6,0,0,46.3121
3,07:41:00,07:41:00,28,7,0,0,53.5360
3,07:48:00,07:48:00,43298,8,0,0,57.3989
3,08:13:00,08:13:00,1,9,0,0,67.6532
4,04:33:00,04:33:00,10,1,0,0,0.0000
4,04:42:00,04:42:00,2,2,0,0,5.8924
4,04:52:00,04:52:00,39,3,0,0,16.4295
4,05:02:00,05:02:00,55,4,0,0,27.2915
4,05:15:00,05:15:00,9,5,0,0,40.2494
4,05:22:00,05:22:00,71,6,0,0,46.3121
4,05:32:00,05:32:00,28,7,0,0,53.5360
4,05:39:00,05:39:00,43298,8,0,0,57.3989
4,06:04:00,06:04:00,1,9,0,0,67.6532
5,07:47:00,07:47:00,10,1,0,0,0.0000
5,07:56:00,07:56:00,2,2,0,0,5.8924
5,08:07:00,08:07:00,39,3,0,0,16.4295
5,08:18:00,08:18:00,55,4,0,0,27.2915
5,08:31:00,08:31:00,9,5,0,0,40.2494
5,08:39:00,08:39:00,71,6,0,0,46.3121
5,08:49:00,08:49:00,28,7,0,0,53.5360
5,08:56:00,08:56:00,43298,8,0,0,57.3989
5,09:21:00,09:21:00,1,9,0,0,67.6532
6,06:40:00,06:40:00,10,1,0,0,0.0000
6,06:49:00,06:49:00,2,2,0,0,5.8924
6,07:00:00,07:00:00,39,3,0,0,16.4295
6,07:11:00,07:11:00,55,4,0,0,27.2915
6,07:28:00,07:28:00,9,5,0,0,40.2494
6,07:36:00,07:36:00,71,6,0,0,46.3121
6,07:46:00,07:46:00,28,7,0,0,53.5360
6,07:53:00,07:53:00,43298,8,0,0,57.3989
6,08:18:00,08:18:00,1,9,0,0,67.6532
7,08:53:00,08:53:00,10,1,0,0,0.0000
7,09:02:00,09:02:00,2,2,0,0,5.8924
7,09:13:00,09:13:00,39,3,0,0,16.4295
7,09:24:00,09:24:00,55,4,0,0,27.2915
7,09:37:00,09:37:00,9,5,0,0,40.2494
7,09:45:00,09:45:00,71,6,0,0,46.3121
7,09:55:00,09:55:00,28,7,0,0,53.5360
7,10:02:00,10:02:00,43298,8,0,0,57.3989
7,10:27:00,10:27:00,1,9,0,0,67.6532
8,08:53:00,08:53:00,10,1,0,0,0.0000
8,09:02:00,09:02:00,2,2,0,0,5.8924
8,09:13:00,09:13:00,39,3,0,0,16.4295
8,09:24:00,09:24:00,55,4,0,0,27.2915
8,09:37:00,09:37:00,9,5,0,0,40.2494
